accession,source,domain,phylum,class_,order,family,genus,species
GB_GCA_002501535.1,bac120,Bacteria,UBP7,UBA6624,UBA6624,UBA6624,UBA6624,UBA6624 sp002501535
GB_GCA_002502135.1,ar53,Archaea,Undinarchaeota,Undinarchaeia,Undinarchaeales,UBA543,UBA543,UBA543 sp002502135
GB_GCA_014189675.1,ar53,Archaea,Undinarchaeota,Undinarchaeia,Undinarchaeales,Undinarchaeaceae,Undinarchaeum,Undinarchaeum sp014189675
GB_GCA_014728245.1,bac120,Bacteria,VGIX01,VGIX01,VGIX01,VGIX01,WJLY01,WJLY01 sp014728245
GB_GCA_016867725.1,bac120,Bacteria,VGIX01,VGIX01,VGIX01,VGIX01,VGIX01,VGIX01 sp016867725
GB_GCA_004558035.1,bac120,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,UBA953,Spyradosoma,Spyradosoma sp004558035
GB_GCA_902800055.1,bac120,Bacteria,Verrucomicrobiota,Kiritimatiellae,RFP12,UBA1067,UBA1067,UBA1067 sp902800055
GB_GCA_008933015.1,bac120,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,UBA6821,UBA6821,UBA6821 sp008933015
GB_GCA_016933595.1,bac120,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,JAFGAQ01,JAFGAQ01,JAFGAQ01 sp016933595
GB_GCA_002305615.1,bac120,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,UBA1412,UBA1412,UBA1412 sp002305615
GB_GCA_015486655.1,bac120,Bacteria,WOR-3,32-111,QNBC01,QNBC01,QNBC01,QNBC01 sp015486655
GB_GCA_011362355.1,bac120,Bacteria,WOR-3,WOR-3,UBA2258,UBA2258,DSUT01,DSUT01 sp011362355
GB_GCA_002069765.1,bac120,Bacteria,Wallbacteria,UBA9980,UBA9980,UBA9980,UBA9980,UBA9980 sp002069765
GB_GCA_001791795.1,bac120,Bacteria,Wallbacteria,UBA9980,UBA9980,UBA9980,UBA9980,UBA9980 sp001791795
GB_GCA_016235085.1,bac120,Bacteria,Zixibacteria,MSB-5A5,DSPP01,WJJR01,JACRMA01,JACRMA01 sp016235085
GB_GCA_012797915.1,bac120,Bacteria,Zixibacteria,MSB-5A5,GN15,JAAZOE01,JAAZOE01,JAAZOE01 sp012797915
