accession,source,domain,phylum,class_,order,family,genus,species
GB_GCA_016212195.1,bac120,Bacteria,Nitrospirota,Thermodesulfovibrionia,JACRGW01,JACRGW01,JACRGW01,JACRGW01 sp016212195
GB_GCA_002387725.1,bac120,Bacteria,Nitrospirota_A,Leptospirillia,Leptospirillales,Leptospirillaceae,UBA4572,UBA4572 sp002387725
RS_GCF_000299235.1,bac120,Bacteria,Nitrospirota_A,Leptospirillia,Leptospirillales,Leptospirillaceae,Leptospirillum_A,Leptospirillum_A rubarum
GB_GCA_016934335.1,bac120,Bacteria,OLB16,OLB16,SURF-12,SURF-12,JAFGTC01,JAFGTC01 sp016934335
GB_GCA_001567115.1,bac120,Bacteria,OLB16,OLB16,OLB16,OLB16,OLB16,OLB16 sp001567115
GB_GCA_014728785.1,bac120,Bacteria,Omnitrophota,Koll11,4484-171,4484-171,WJKZ01,WJKZ01 sp014728785
GB_GCA_903907475.1,bac120,Bacteria,Omnitrophota,Koll11,GIF10,UBA6249,UBA6249,UBA6249 sp903907475
GB_GCA_003551625.1,bac120,Bacteria,PUNC01,PUNC01,PUNC01,PUNC01,PUNC01,PUNC01 sp003551625
GB_GCA_003561965.1,bac120,Bacteria,PUNC01,PUNC01,PUNC01,PWXJ01,PWXJ01,PWXJ01 sp003561965
GB_GCA_018062625.1,bac120,Bacteria,Patescibacteria,Microgenomatia,UBA10105,UBA927,UBA927,UBA927 sp018062625
GB_GCA_017406775.1,bac120,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Nanosyncoccaceae,Nanosyncoccus,Nanosyncoccus sp017406775
GB_GCA_018826445.1,bac120,Bacteria,Patescibacteria,Gracilibacteria,UBA1369,JAHKBB01,JAHKBB01,JAHKBB01 sp018826445
GB_GCA_001004885.1,bac120,Bacteria,Patescibacteria,ABY1,Magasanikbacterales,UBA922,GWA2-56-11,GWA2-56-11 sp001004885
GB_GCA_007376285.1,bac120,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA10002,2-02-FULL-48-16,2-02-FULL-48-16 sp007376285
GB_GCA_002306345.1,bac120,Bacteria,Patescibacteria,Microgenomatia,UBA1400,PJMF01,UBA1364,UBA1364 sp002306345
GB_GCA_017442645.1,bac120,Bacteria,Patescibacteria,JAEDAM01,Absconditabacterales,X112,UBA3291,UBA3291 sp017442645
GB_GCA_018061025.1,bac120,Bacteria,Patescibacteria,ABY1,SG8-24,2-12-FULL-60-25,JAGOUA01,JAGOUA01 sp018061025
