predicted,observed,n
0.0495,0.02109375,1280
0.15000000000000002,0.0787824529991047,1117
0.25,0.1635467980295566,1015
0.35,0.2507522567703109,997
0.45,0.3944954128440367,981
0.55,0.5031315240083507,958
0.6499999999999999,0.5931642778390298,907
0.75,0.7038327526132404,1148
0.8500000000000001,0.8215277777777777,1440
0.95,0.9123390112172828,2407
