alpha,threshold,self_flag_rate,dark_query_flag_rate,positive_flag_rate,dark_negative_flag_rate
0.01,0.0007920000000000073,0.010412147505422993,0.06846795869288443,0.13436442725954567,0.0412
0.05,0.0004,0.02299349240780911,0.11946527090111755,0.20082165297245047,0.0858
0.1,0.0002,0.05986984815618221,0.2244306125335974,0.3182696955050749,0.1856
