n_detectors,auroc_mean,auroc_median,n_families
1000,0.5919805228876249,0.5,30
5000,0.7365232906269299,0.8198367346938775,30
10000,0.8322199805025746,0.9246671258034894,30
20000,0.862368882894188,0.9117883379247016,30
